Title,Bedrooms,Bathrooms,Floor_area,City,location_area,Price_in_Cr,Price_per_sqft,floor_level,Is_in_Dhaka
740 Square Feet Residential Flat Is Ready To Sale At Middle Pirerbag,2.0,2.0,740.0,dhaka,mirpur,0.35,4729.73,medium,yes
"1370 Sq Ft Apartment Is Available For Sale In Middle Badda, Adarsha Nagar",3.0,3.0,1370.0,dhaka,badda,0.92,6715.33,medium,yes
"950 Sq Ft Apartment For Sale In Dakshin Khan, Near Islami Bank Bd Ltd.",3.0,2.0,950.0,dhaka,dakshin khan,0.4,4210.53,low,yes
"A 1,365 Sq Ft Flat Is Up For Sale In A Well Secured Location Of Uttar Badda",3.0,3.0,1365.0,dhaka,badda,0.85,6227.11,low,yes
Favorable 1128 SFT 3 Bedroom Flat For Sale In Badda,3.0,3.0,1128.0,dhaka,badda,0.71,6294.33,low,yes
Don’t Miss Out On This Attractive 3 Bedroom Flat For Sale In Middle Badda!,3.0,3.0,1388.0,dhaka,badda,0.96,6916.43,medium,yes
"Reside In This 1530 Sq Ft Residential Flat For Sale In Mirpur, Paikpara",4.0,3.0,1530.0,dhaka,mirpur,1.15,7516.34,medium,yes
"Lovely Apartment Of 1200 Sq Ft Is Up For Sale In Section 1, Mirpur",3.0,3.0,1200.0,dhaka,mirpur,0.87,7250.0,medium,yes
"A Nicely Constructed Apartment Of 1200 Sq Ft Is Available Right Now For Sale In Section 1, Mirpur",3.0,3.0,1200.0,dhaka,mirpur,0.87,7250.0,low,yes
Your Desirable Cozy Flat Of 1250 Sq Ft Is Ready For Sale In Aftab Nagar,3.0,3.0,1250.0,dhaka,aftab nagar,0.76,6080.0,medium,yes
4350 Sq Ft Modern And Spacious Flat For Sale In Uttara-12,5.0,5.0,4350.0,dhaka,uttara,5.7,13103.45,high,yes
"Buy This 2300 Sq Ft Apartment In Banasree, Block J",4.0,4.0,2300.0,dhaka,banasree,2.2,9565.22,medium,yes
Visit This Apartment For Sale In Mirpur Near Popular Diagnostic Center Limited.,3.0,3.0,1550.0,dhaka,mirpur,0.95,6129.03,medium,yes
An Apartment Of 1550 Sq.ft Is For Sale In The Location Of Bashundhara R-a Near The Aga Khan School.,3.0,3.0,1550.0,dhaka,bashundhara,1.25,8064.52,low,yes
An Adequate 3 Bedroom Apartment Is For Sale In The Location Of Bashundhara R-a Near The Aga Khan School.,3.0,3.0,1550.0,dhaka,bashundhara,1.25,8064.52,medium,yes
"Buy This 350 Square Feet Apartment In Bashundhara R-a, Block C",1.0,1.0,350.0,dhaka,bashundhara,0.55,15714.29,low,yes
Nearly Finished 1600 Square Feet Apartment For Sale In Uttara,3.0,3.0,1600.0,dhaka,uttara,1.6,10000.0,medium,yes
1600 Square Feet 3 Beds Family Apartment For Sale In Uttara,3.0,3.0,1600.0,dhaka,uttara,1.6,10000.0,medium,yes
This beautiful 1800 sq ft flat located in Uttara is now available | For sale,3.0,3.0,1800.0,dhaka,uttara,1.8,10000.0,low,yes
"Buy This 1439 Sq Ft Apartment In Bashundhara R-a, Block B",3.0,3.0,1439.0,dhaka,bashundhara,1.3,9034.05,low,yes
"Buy This 1505 Sq Ft Flat In Middle Badda, Adarsha Nagar",3.0,3.0,1505.0,dhaka,badda,1.15,7641.2,low,yes
1605 Sq Feet | Flat For Sale | Uttara,3.0,4.0,1605.0,dhaka,uttara,1.7,10591.9,low,yes
1537 Square Feet Flat With 3 Bedrooms Is Available For Sale In Bashundhara R/a,3.0,3.0,1537.0,dhaka,bashundhara,1.45,9433.96,medium,yes
"Offering You A 1700 Sq Ft Flat For Sale In Block E, Bashundhara R-A",3.0,3.0,1700.0,dhaka,bashundhara,1.62,9529.41,low,yes
"1700 Sq Ft Flat For Sale In Block E, Bashundhara R-A",3.0,3.0,1700.0,dhaka,bashundhara,1.62,9529.41,low,yes
"Buy This 1100 Sq Ft Flat In Cantonment, Matikata",3.0,2.0,1100.0,dhaka,cantonment,0.6,5454.55,low,yes
"1450 Sq Ft Apartment For Sale In Bashundhara R-a, Block B",3.0,3.0,1450.0,dhaka,bashundhara,1.31,9034.48,medium,yes
"Here Is A Well Defined Flat Of 1815 Sq Ft Waiting For Sale At Sector 4, Uttara",3.0,5.0,1815.0,dhaka,uttara,2.28,12561.98,medium,yes
Buy This 1225 Square Feet Flat Available In Bashundhara R-a,3.0,3.0,1225.0,dhaka,bashundhara,1.1,8979.59,low,yes
1400 Sq Ft Residential Apartment For Sale At Pallabi,3.0,3.0,1400.0,dhaka,mirpur,0.78,5571.43,low,yes
"Looking For A Perfect Family Home To Buy In Banasree, Check This 1450 Sq Ft Well Featured Flat.",3.0,4.0,1450.0,dhaka,banasree,1.43,9862.07,medium,yes
860 Sq Ft Apartment Is For Sale In Mirpur-1,2.0,2.0,860.0,dhaka,mirpur,0.56,6511.63,medium,yes
1085 Square Feet Residential Flat For Sale In Dakshin Khan,3.0,2.0,1085.0,dhaka,dakshin khan,0.6,5529.95,medium,yes
"1255 Sq Ft Residential Apartment For Sale in Dhanmondi, Circular Road",3.0,3.0,1255.0,dhaka,dhanmondi,1.38,10996.02,medium,yes
"1910 Sq Ft Apartment Is Up For Sale In Banasree, Block J",4.0,4.0,1910.0,dhaka,banasree,1.38,7225.13,medium,yes
"In the location of Mirpur, very close to Medicine Point is up for sale",2.0,2.0,800.0,dhaka,mirpur,0.37,4625.0,medium,yes
An apartment located on Mirpur near to BSMR Maritime University is waiting for you to make it home!,3.0,3.0,1245.0,dhaka,mirpur,0.45,3614.46,low,yes
"Make this flat your next residing location, which is up for Sale in Dakshin Khan Near Ashkona Jame Masjid",3.0,2.0,1250.0,dhaka,dakshin khan,0.45,3600.0,medium,yes
"Flat up for sale in Rupnagar R/A area, near Jaman Plaza",3.0,2.0,1000.0,dhaka,mirpur,0.51,5100.0,medium,yes
In Mirpur Apartment Can Be Found For Sale Near Shaheed Zia Girls Laboratory School,2.0,2.0,650.0,dhaka,mirpur,0.22,3384.62,medium,yes
An Apartment Which Is Up For Sale At Mirpur Near To M.D.C. Model Institute,2.0,2.0,650.0,dhaka,mirpur,0.23,3538.46,low,yes
3 Bedrooms Apartment With A View Is Up For Sale,3.0,3.0,1250.0,dhaka,shiddheswari,1.15,9200.0,medium,yes
"In The Location Of Mirpur, Close To Delta Medical College And Hospital A Flat Is Up For Sale.",3.0,2.0,1300.0,dhaka,mirpur,0.7,5384.62,medium,yes
Visit This Flat For Sale In Uttara Nearby Shaheed Monsur Ali Medical College And Hospital,3.0,3.0,1500.0,dhaka,uttara,0.9,6000.0,low,yes
A Fine Flat Is Now For Sale Which Is In Mirpur Near Popular Diagnostic Center Limited,3.0,4.0,1460.0,dhaka,mirpur,1.1,7534.25,medium,yes
Visit this apartment for sale in Mirpur near Nurani Jame Masjid,3.0,2.0,1100.0,dhaka,mirpur,0.38,3454.55,medium,yes
"An apartment ready for sale at Mirpur, near Mainuddin Medical Hall",2.0,2.0,650.0,dhaka,mirpur,0.3,4615.38,low,yes
"Apartment for sale includes 1578 SQ Ft at Mirpur, near Shah Ali Police Station",3.0,4.0,1578.0,dhaka,mirpur,1.2,7604.56,medium,yes
Check this 1584 SQ FT apartment up for sale at Mirpur very near to Aklima General Hospital LTD,3.0,4.0,1584.0,dhaka,mirpur,1.2,7575.76,low,yes
"At Mohammadpur, Nice Flat Up For Sale Near Millennium Heart &amp; General Hospital Ltd.",2.0,2.0,1050.0,dhaka,mohammadpur,0.55,5238.1,low,yes
Visit this apartment for sale of 1703 SQ FT in Mirpur near Jannat Academy High School.,3.0,3.0,1703.0,dhaka,mirpur,0.89,5226.07,medium,yes
"Apartment Up For Sale In Mirpur, Near Baitur Rahmat Jame Masjid",2.0,2.0,1000.0,dhaka,mirpur,0.4,4000.0,medium,yes
"A 2300 Square Ft. Residential Apartment For Sale At Bashundhara R-A, Block J.",4.0,4.0,2300.0,dhaka,bashundhara,1.5,6521.74,low,yes
"2300 Sq Ft Flat With Comfiest Home Facilities, Is Up For Sale In Bashundhara R-a, Block J",4.0,4.0,2300.0,dhaka,bashundhara,1.5,6521.74,medium,yes
